module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Rollun,_meta,,,,,,,,,false,,
Rollun,rollun-init,Init Rollun,INI,Bootstrap a freshly-installed rollun module — wire the MCP servers (runs rollun-mcp-setup) and install rollun's BMad-skill overrides into _bmad/custom (e.g. wire bmad-product-brief to the rollun sources) and seat the party-mode roundtable agents (Clean Architecture reviewer + Rollun Knowledge) by merging them into config.toml. Closes the two gaps the BMad installer leaves; run once after install.,,,0-setup,,rollun-knowledge,false,project-root,.mcp.json and _bmad/custom overrides + roundtable roster agents
Rollun,rollun-knowledge,Ask Knowledge,KNW,Single front door for cross-source questions — holds the routing map (which processes exist which service lives where which source answers) and delegates to the read-only specialists rollun-nexus (code wiring/impact) rollun-sql-prod (production relational data shapes) rollun-sql-local (local/dev relational data) rollun-es (search and log shapes); fans them out parallel or chained reconciles the digests and returns one synthesized answer with cross-source provenance. Never queries an MCP itself. Universal — discovers connected sources and their coverage at runtime.,,,1-analysis,,,false,,synthesized cross-source answer with provenance
Rollun,rollun-party-mode,Tool-Enabled Party Mode,PTY,Tool-enabled variant of bmad-party-mode — same roundtable but EVERY agent spawns as a real subagent WITH read-only tool access by default so each can call rollun-knowledge or the source specialists (nexus/sql/es/lightrag) or other subagents and ground its own perspective instead of guessing. Both stock BMAD agents and rollun agents get tools — the old rollun-only restriction is gone. Opt a seat out with tools=false in the roster or run the whole room no-tools with --no-tools. A shared session-knowledge.md cache lets agents read facts the room already gathered and write new ones back so nobody re-queries the same thing. All access stays strictly read-only — selects searches metadata bounded — never a write.,,,,,,false,,tool-enabled multi-agent discussion with read-only source provenance
Rollun,rollun-nexus,Query GitNexus,NXS,Answer code-structure and impact questions from the GitNexus code knowledge graph via the nexus MCP (read-only): call chains callers/callees blast-radius API routes response-shape contracts cross-repo impact uncommitted-change analysis.,,,1-analysis,,,false,,code-graph digest with provenance
Rollun,rollun-sql-prod,Query Prod SQL,PSQ,Answer data-shape and live-value questions from the rollun PRODUCTION relational database via the hosted read-only mysql MCP (mcp.rollun.net — several databases across several hosts): real schemas row volumes distributions sample rows current values and test-fixture shapes. list_databases first then query(database=…). Universal — discovers databases and schema at runtime.,,,1-analysis,,,false,,production sql data digest with provenance
Rollun,rollun-sql-local,Query Local SQL,LSQ,Answer data-shape questions from the project's LOCAL relational database via a local read-only SQL MCP (e.g. mysql-local-readonly): real schemas row volumes distributions sample rows and test-fixture shapes. Universal — discovers the schema at runtime. For the production database use rollun-sql-prod.,,,1-analysis,,,false,,local sql data digest with provenance
Rollun,rollun-es,Query Elasticsearch,ELS,Answer search-behavior and document-shape questions from Elasticsearch via the es MCP (read-only): indices mappings document shapes search results aggregations. Universal — discovers indices at runtime.,,,1-analysis,,,false,,elasticsearch digest with provenance
Rollun,rollun-lightrag,Query LightRAG,RAG,Answer questions from the project's LightRAG knowledge base via the lightrag MCP (read-only) — a graph-plus-vector RAG over ingested docs/runbooks/wikis. Pick the retrieval mode (naive/local/global/hybrid/mix) cap top_k and return a digest grounded in the source documents and entities. Universal — discovers the ingested corpus at runtime.,,,1-analysis,,,false,,knowledge-base digest with provenance
Rollun,rollun-github,Query GitHub,GHB,Answer questions from rollun's GitHub repositories via the github MCP (read-only) — cross-repo code search file contents commit history issues and pull requests. Use to find where a class/function lives across repos what PRs exist for a topic open issues in a service and commit history for a file. Complements rollun-nexus with GitHub-native search across ALL repos including those not yet indexed by Nexus. Universal — discovers accessible orgs and repos at runtime.,,,1-analysis,,,false,,github search digest with provenance
Rollun,rollun-trello,Query Trello,TRL,Read and (with confirmation) manage rollun's Trello boards via the trello MCP — find cards by free-form search read a card's full context (description comments checklists members labels attachments) list cards in a list or board and inspect board/list/member activity. Read-first and bounded; every create/update/comment/move/archive/delete runs only after explicit per-call confirmation and a card's status is always reported (🟢 active vs 📦 archived). Universal — discovers boards lists and labels at runtime.,,,1-analysis,,,false,,trello card digest with status and provenance
Rollun,rollun-clockify,Query Clockify,CLK,Answer time-tracking questions from rollun's Clockify workspace via the clockify MCP — who logged time on what hours by project/client/task over a period running timers time-entry detail and summary rollups. Read-first and bounded (always a date range); any write (start/stop a timer add/edit an entry) runs only after explicit per-call confirmation. Universal — discovers workspaces projects and users at runtime.,,,1-analysis,,,false,,clockify time digest with scope and provenance
Rollun,rollun-mcp-setup,Setup MCP Servers,MCP,Write a project-scoped .mcp.json from a configured server registry (nexus es sql github trello clockify) so the rollun source skills have their MCP connections. Secrets via ${ENV} placeholders never literal; merges existing servers. Run once after install.,,,0-setup,,,false,project-root,.mcp.json with project MCP servers
Rollun,rollun-update,Update Rollun,UPD,Composer-update-style refresh of an already-installed rollun module — does a scoped clean of only the managed bmad-* and rollun-* skill dirs (foreign skills and .mcp.json secrets and _bmad/custom overrides left untouched) then runs the native incremental installer (bmad-method install --action update) with the module set and channels reconstructed from manifest.yaml so nothing is pruned then invokes rollun-init to re-stamp the wiped module version. Replaces retyping the long nuke-and-reinstall command. Reports the installed-vs-latest tag delta. --check previews; --no-init skips the re-stamp.,,,0-setup,,rollun-init,false,project-root,refreshed managed skills + re-stamped rollun module version
Rollun,rollun-coding-rules,Coding Rules,CDR,Apply rollun's PHP coding conventions when writing scaffolding or reviewing code — CQRS read/write split (Query+Fetcher vs Request+Handler) constructor-only DI with a factory per class and LoggerInterface last OpenAPI-First (Handler->REST->Controller) Value Objects module/test layout DataStore+RQL logging levels component-design principles and code-visibility rules for static analysis and semantic search. Full reference with templates in assets/coding-rules.md.,,,4-implementation,,rollun-testing,false,,applied conventions or review findings citing the rule
Rollun,rollun-testing,Testing Rules,TST,Apply rollun's testing conventions (Fowler 'Mocks Aren't Stubs' PHP+PHPUnit) when writing or reviewing tests — choose the right double (Dummy/Fake/Stub/Spy/Mock) pick state vs behaviour verification without mixing them structure Setup->Exercise->Verify->Teardown and weigh classical vs mockist TDD. Full reference with examples and cheat-sheet in assets/testing-guidelines.md.,,,4-implementation,rollun-coding-rules,,false,,applied test conventions or review findings citing the rule
Rollun,rollun-bmad-story-automator,Story Automator,SA,Automate BMAD story build cycle with TEA automation after dev-story before code-review and retrospective. Fork of bmad-story-automator with Rollun auto gate and standard bmad-story-automator-review.,,,4-implementation,bmad-sprint-planning,bmad-retrospective,false,implementation_artifacts,orchestration state and story commits
